Building,Appartment,Energy,Temperature,Humidity
411,2502,13.7,-3.391666667,76.5
411,2503,11.7,-3.391666667,76.5
411,102,13.6,-6.925,49.25
411,103,13.8,-6.925,49.25
411,202,12.8,-6.925,49.25
411,203,13.5,-6.925,49.25
411,301,12.5,-6.925,49.25
411,302,14.9,-6.925,49.25
411,303,17,-6.925,49.25
411,401,3.3,-6.925,49.25
411,402,11.6,-6.925,49.25
411,403,12.1,-6.925,49.25
411,501,5.5,-6.925,49.25
411,502,10.1,-6.925,49.25
411,503,8.1,-6.925,49.25
411,601,14.2,-6.925,49.25
411,602,16.9,-6.925,49.25
411,603,13.3,-6.925,49.25
411,701,7.6,-6.925,49.25
411,702,15.2,-6.925,49.25
411,703,11.1,-6.925,49.25
411,801,5.7,-6.925,49.25
411,802,14.3,-6.925,49.25
411,803,10.9,-6.925,49.25
411,901,5.5,-6.925,49.25
411,902,9,-6.925,49.25
411,903,9.1,-6.925,49.25
411,1001,15.7,-6.925,49.25
411,1002,18.8,-6.925,49.25
411,1003,8.2,-6.925,49.25
411,1101,15.8,-6.925,49.25
411,1102,7.2,-6.925,49.25
411,1103,8.1,-6.925,49.25
411,1201,9.1,-6.925,49.25
411,1202,18.9,-6.925,49.25
411,1203,10.2,-6.925,49.25
411,1301,11.7,-6.925,49.25
411,1302,16.9,-6.925,49.25
411,1303,12.3,-6.925,49.25
411,1401,8.1,-6.925,49.25
411,1402,11.2,-6.925,49.25
411,1403,17.1,-6.925,49.25
411,1501,8.9,-6.925,49.25
411,1502,15.3,-6.925,49.25
411,1503,11.1,-6.925,49.25
411,1601,17.5,-6.925,49.25
411,1602,2.8,-6.925,49.25
411,1603,4.5,-6.925,49.25
411,1701,11.3,-6.925,49.25
411,1702,15.8,-6.925,49.25
411,1703,10.9,-6.925,49.25
411,1801,10.9,-6.925,49.25
411,1802,11,-6.925,49.25
411,1803,15.6,-6.925,49.25
411,1901,8.3,-6.925,49.25
411,1902,12.2,-6.925,49.25
411,1903,6.7,-6.925,49.25
411,2001,8,-6.925,49.25
411,2002,14,-6.925,49.25
411,2003,12.2,-6.925,49.25
411,2101,14.4,-6.925,49.25
411,2102,25.6,-6.925,49.25
411,2103,12.1,-6.925,49.25
411,2201,25.3,-6.925,49.25
411,2202,18.3,-6.925,49.25
411,2203,14.2,-6.925,49.25
411,2301,6.9,-6.925,49.25
411,2302,13.3,-6.925,49.25
411,2303,12.4,-6.925,49.25
411,2401,7.1,-6.925,49.25
411,2402,12.6,-6.925,49.25
411,2403,6.9,-6.925,49.25
411,2501,11.7,-6.925,49.25
411,2502,16.3,-6.925,49.25
411,2503,8.4,-6.925,49.25
411,102,15.6,-5.8375,84.04166667
411,103,9.9,-5.8375,84.04166667
411,202,9.5,-5.8375,84.04166667
411,203,19.3,-5.8375,84.04166667
411,301,12.5,-5.8375,84.04166667
411,302,13.9,-5.8375,84.04166667
411,303,17.1,-5.8375,84.04166667
411,401,4.1,-5.8375,84.04166667
411,402,16.1,-5.8375,84.04166667
411,403,6.9,-5.8375,84.04166667
411,501,6.4,-5.8375,84.04166667
411,502,11.4,-5.8375,84.04166667
411,503,8.1,-5.8375,84.04166667
411,601,12.7,-5.8375,84.04166667
411,602,14.3,-5.8375,84.04166667
411,603,12.8,-5.8375,84.04166667
411,701,5.5,-5.8375,84.04166667
411,702,17.3,-5.8375,84.04166667
411,703,8.7,-5.8375,84.04166667
